id,title,vegetarian,vegan,glutenFree,dairyFree,veryHealthy,cheap,veryPopular,sustainable,sourceName,readyInMinutes,servings,sourceUrl
49636,Gone Bananas Rolled Oats,False,False,True,True,False,False,False,False,,45,2,http://www.stilettochef.com/1857/gone-bananas-rolled-oats-in-the-am/
142868,Muesli,True,False,True,False,False,False,False,False,Food.com,10,2,http://www.food.com/recipe/muesli-205921
160518,Strawberry Banana Nut Oatmeal Smoothies,True,False,True,False,False,False,False,False,,5,2,http://www.BettyCrocker.com/recipes/strawberry-banana-nut-oatmeal-smoothies/3503c069-1bdf-432e-89a7-8a64fcead0ee
670998,Italian Wedding Soup,False,False,False,True,False,False,True,False,King Arthur Flour,125,29,http://www.kingarthurflour.com/recipes/italian-wedding-soup-recipe
76953,Spaghetti With Pecorino Romano And Black Pepper,True,False,False,False,True,False,False,False,Bijouxs,12,1,http://bijouxs.com/2010/09/12/cacio-e-pepe-spaghetti-with-pecorino-romano-and-black-pepper/
537376,Haystacks,False,False,False,False,False,False,True,False,She Wears Many Hats,35,50,http://shewearsmanyhats.com/2011/10/haystacks-recipe/
598024,Easter Egg Haystacks,False,False,False,True,False,False,True,False,Somethings Wanky,45,12,http://www.somethingswanky.com/easter-egg-haystacks/
532783,French Bread Pizza,True,False,False,False,False,False,True,False,The Hungry House Wife,15,4,http://www.thehungryhousewife.com/2013/06/french-bread-pizza.html
475267,Chocolate Haystacks,False,False,False,True,False,False,True,False,Add A Pinch,17,48,http://addapinch.com/cooking/2012/10/10/chocolate-haystacks-recipe/
592424,Antipasto Pasta,False,False,False,True,False,False,False,False,Budget Bytes,15,8,http://www.budgetbytes.com/2010/01/antipasto-pasta/
591703,Spaghetti and Meatballs,False,False,False,True,False,False,False,False,Budget Bytes,45,6,http://www.budgetbytes.com/2009/12/spaghetti-and-meatballs/
532320,Chili Pasta Bake,False,False,False,False,True,False,False,False,Premeditated Left Over,35,8,http://premeditatedleftovers.com/recipes-cooking-tips/chili-pasta-bake/
139508,Ravioli Lasagna,False,False,False,False,False,False,False,False,Food.com,80,4,http://www.food.com/recipe/ravioli-lasagna-90566
538633,Pasta de langosta fácil,False,False,False,True,False,False,False,False,Cocina Dominicana,15,6,http://www.cocinadominicana.com/6973/pasta-langosta-facil.html
799756,Cream Cheese Pesto Pasta,False,False,False,False,False,False,False,False,Kitchen Nostalgia,45,2,http://www.kitchennostalgia.com/pasta/cream-cheese-pesto-pasta.html
393974,Sausage 'n' Black Bean Pasta,False,False,False,True,False,False,False,False,Taste of Home,20,3,http://www.tasteofhome.com/recipes/sausage--n--black-bean-pasta
77247,Chicken And Mushroom Spaghetti,False,False,False,True,False,False,False,False,,2,4,http://www.wholeliving.com/132690/chicken-and-mushroom-spaghetti
1509201,Healthy Brownies,False,False,False,False,False,False,False,False,The Gracious Pantry,30,12,https://www.thegraciouspantry.com/mac-and-cheese-bites-recipe/
269443,Zesty Mac & Cheese,True,False,False,False,False,False,False,False,,20,20,http://www.Kraftrecipes.com/recipes/zesty-mac-cheese-129409.aspx
138608,Tortellini and Caponata Bake,False,False,False,False,False,False,False,False,Food.com,30,3,http://www.food.com/recipe/tortellini-and-caponata-bake-198426
